triangle_pos,triangle_color,pink_circle_pos,test_trial_before_experiment.thisRepN,test_trial_before_experiment.thisTrialN,test_trial_before_experiment.thisN,test_trial_before_experiment.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Test_Trial_routine_instructions.started,text.started,key_resp_3.started,Test_Trial_routine_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,test_trial.started,test_trial.stopped,Actual_Trial_Instructions.started,actual_trial_intructions.started,key_resp_4.started,Actual_Trial_Instructions.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,code_attempt.started,code_attempt.stopped,End_Routine.started,End_Text.started,key_resp_2.started,End_Routine.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.023737584007903934,0.03846075001638383,1.9949415000155568,4.122197292046621,space,2.1200719590415247,None,,,,,,,,,,,,,,,,,,,,,,,,,,943340,001,2024-05-07_21h25.39.700,creatingimagesNEW,2024.1.4,None,2024-05-07 21h25.46.517593 -0400,
,,,,,,,,,,,,,,,,,,,,4.122232916997746,4.143148917006329,5.120717542013153,5.405087666993495,space,0.27572700002929196,None,,,,,,,,,,,,,,,,,,,943340,001,2024-05-07_21h25.39.700,creatingimagesNEW,2024.1.4,None,2024-05-07 21h25.46.517593 -0400,
"(-0.1875, -0.1875)",p,0.0,0,0,0,4,,,,,5.452456334023736,,,,,,,,,,,,,,,,5.426831209042575,6.520830625027884,,,,,,,,,,,,,,,,,943340,001,2024-05-07_21h25.39.700,creatingimagesNEW,2024.1.4,None,2024-05-07 21h25.46.517593 -0400,
"(-0.25, 0)",p,0.0,0,1,1,5,,,,,6.5283152920310386,,,,,,,,,,,,,,,,6.521006916998886,7.690560750022996,,,,,,,,,,,,,,,,,943340,001,2024-05-07_21h25.39.700,creatingimagesNEW,2024.1.4,None,2024-05-07 21h25.46.517593 -0400,
"(0.25, 0)",g,0.0,0,2,2,2,,,,,7.6978100000415,,,,,,,,,,,,,,,,7.690740167046897,8.659934875031468,,,,,,,,,,,,,,,,,943340,001,2024-05-07_21h25.39.700,creatingimagesNEW,2024.1.4,None,2024-05-07 21h25.46.517593 -0400,
"(-0.25, 0)",g,"(0.25, 0)",0,3,3,8,,,,,8.667529750033282,,,,,,,,,,,,,,,,8.660106750030536,9.929497834003996,,,,,,,,,,,,,,,,,943340,001,2024-05-07_21h25.39.700,creatingimagesNEW,2024.1.4,None,2024-05-07 21h25.46.517593 -0400,
"(0.1875, 0.1875)",g,0.0,0,4,4,1,,,,,9.937291209003888,,,,,,,,,,,,,,,,9.929693334037438,11.095482917036861,,,,,,,,,,,,,,,,,943340,001,2024-05-07_21h25.39.700,creatingimagesNEW,2024.1.4,None,2024-05-07 21h25.46.517593 -0400,
"(0, 0.25)",g,0.0,0,5,5,0,,,,,11.11041862500133,,,,,,,,,,,,,,,,11.09565625002142,12.273402209044434,,,,,,,,,,,,,,,,,943340,001,2024-05-07_21h25.39.700,creatingimagesNEW,2024.1.4,None,2024-05-07 21h25.46.517593 -0400,
"(-0.1875, 0.1875)",g,"(-0.25, 0)",0,6,6,7,,,,,12.280900500016287,,,,,,,,,,,,,,,,12.273566292016767,13.443699750001542,,,,,,,,,,,,,,,,,943340,001,2024-05-07_21h25.39.700,creatingimagesNEW,2024.1.4,None,2024-05-07 21h25.46.517593 -0400,
"(0.1875, -0.1875)",p,0.0,0,7,7,3,,,,,13.451398709032219,,,,,,,,,,,,,,,,13.443874167045578,14.514292834035587,,,,,,,,,,,,,,,,,943340,001,2024-05-07_21h25.39.700,creatingimagesNEW,2024.1.4,None,2024-05-07 21h25.46.517593 -0400,
